likes,no_of_comments,follower_count_at_t,image_path,hour_of_day,day_of_week_sin,day_of_week_cos,year,month,day
251000,2120,35860886,../Data/insta_data/317.jpg,5,-0.433883739117558,-0.9009688679024191,4,6,26
154596,902,35860886,../Data/insta_data/318.jpg,3,-0.433883739117558,-0.9009688679024191,4,6,26
95205,577,35860886,../Data/insta_data/319.jpg,13,0.7818314824680298,0.6234898018587336,4,6,23
52825,437,35860886,../Data/insta_data/321.jpg,2,0.7818314824680298,0.6234898018587336,4,6,23
15772,363,35860886,../Data/insta_data/323.jpg,11,0.0,1.0,4,6,22
207767,1501,35860886,../Data/insta_data/327.jpg,5,-0.433883739117558,-0.9009688679024191,4,6,19
74772,1035,35860886,../Data/insta_data/328.jpg,9,0.43388373911755823,-0.900968867902419,4,6,18
163302,1521,35860886,../Data/insta_data/331.jpg,9,0.7818314824680298,0.6234898018587336,4,6,16
193832,1269,35860886,../Data/insta_data/334.jpg,1,-0.7818314824680299,0.6234898018587334,4,6,14
222486,2897,35860886,../Data/insta_data/336.jpg,12,-0.433883739117558,-0.9009688679024191,4,6,12
143149,1025,35860886,../Data/insta_data/337.jpg,4,0.7818314824680298,0.6234898018587336,4,6,9
197002,946,35860886,../Data/insta_data/340.jpg,2,-0.7818314824680299,0.6234898018587334,4,6,7
28737,341,35860886,../Data/insta_data/341.jpg,11,-0.9749279121818236,-0.2225209339563146,4,6,6
209101,2563,35860886,../Data/insta_data/342.jpg,2,0.43388373911755823,-0.900968867902419,4,6,4
353561,4517,35860886,../Data/insta_data/343.jpg,1,0.9749279121818236,-0.22252093395631434,4,6,3
45054,1092,35860886,../Data/insta_data/344.jpg,13,0.7818314824680298,0.6234898018587336,4,6,2
149690,1553,35860886,../Data/insta_data/346.jpg,0,0.7818314824680298,0.6234898018587336,4,6,2
106848,2359,35860886,../Data/insta_data/347.jpg,3,-0.9749279121818236,-0.2225209339563146,4,5,30
48360,478,35860886,../Data/insta_data/348.jpg,6,0.43388373911755823,-0.900968867902419,4,5,28
345211,3773,35860886,../Data/insta_data/350.jpg,0,-0.7818314824680299,0.6234898018587334,4,5,24
145637,1236,35860886,../Data/insta_data/351.jpg,5,-0.9749279121818236,-0.2225209339563146,4,5,23
48844,608,35860886,../Data/insta_data/353.jpg,7,0.43388373911755823,-0.900968867902419,4,5,21
154051,2254,35860886,../Data/insta_data/354.jpg,6,0.9749279121818236,-0.22252093395631434,4,5,20
144550,2014,35860886,../Data/insta_data/355.jpg,3,0.9749279121818236,-0.22252093395631434,4,5,20
138373,1030,35860886,../Data/insta_data/357.jpg,7,-0.7818314824680299,0.6234898018587334,4,5,17
109515,3154,35860886,../Data/insta_data/358.jpg,13,0.9749279121818236,-0.22252093395631434,4,5,13
115304,2044,35860886,../Data/insta_data/359.jpg,8,0.0,1.0,4,5,11
176451,2115,35860886,../Data/insta_data/362.jpg,6,-0.433883739117558,-0.9009688679024191,4,5,8
75724,1137,35860886,../Data/insta_data/365.jpg,2,0.9749279121818236,-0.22252093395631434,4,5,6
126646,1199,35860886,../Data/insta_data/372.jpg,10,0.9749279121818236,-0.22252093395631434,4,4,29
51008,697,35860886,../Data/insta_data/376.jpg,5,0.43388373911755823,-0.900968867902419,4,4,23
141779,1407,35860886,../Data/insta_data/377.jpg,10,0.7818314824680298,0.6234898018587336,4,4,21
203495,2346,35860886,../Data/insta_data/381.jpg,9,0.7818314824680298,0.6234898018587336,4,4,14
337798,1487,35860886,../Data/insta_data/382.jpg,1,0.43388373911755823,-0.900968867902419,4,4,9
119212,1186,35860886,../Data/insta_data/385.jpg,17,0.7818314824680298,0.6234898018587336,4,3,17
112308,1214,35860886,../Data/insta_data/388.jpg,6,-0.7818314824680299,0.6234898018587334,4,3,15
128293,544,35860886,../Data/insta_data/389.jpg,20,0.43388373911755823,-0.900968867902419,4,3,12
224047,2116,35860886,../Data/insta_data/393.jpg,2,0.9749279121818236,-0.22252093395631434,4,3,11
85805,483,35860886,../Data/insta_data/394.jpg,23,0.7818314824680298,0.6234898018587336,4,3,10
144907,667,35860886,../Data/insta_data/395.jpg,23,0.7818314824680298,0.6234898018587336,4,3,10
165141,1540,35860886,../Data/insta_data/396.jpg,20,0.0,1.0,4,3,9
122985,1157,35860886,../Data/insta_data/397.jpg,16,-0.7818314824680299,0.6234898018587334,4,3,8
139208,849,35860886,../Data/insta_data/398.jpg,15,-0.7818314824680299,0.6234898018587334,4,3,8
131417,972,35860886,../Data/insta_data/399.jpg,3,-0.433883739117558,-0.9009688679024191,4,3,6
143465,623,35860886,../Data/insta_data/402.jpg,17,-0.7818314824680299,0.6234898018587334,4,3,1
70298,308,35860886,../Data/insta_data/404.jpg,10,-0.9749279121818236,-0.2225209339563146,4,2,29
446472,3975,40220549,../Data/insta_data/410.jpg,4,-0.7818314824680299,0.6234898018587334,4,7,5
546724,3541,40220549,../Data/insta_data/412.jpg,4,0.43388373911755823,-0.900968867902419,4,7,2
1001243,4715,40220549,../Data/insta_data/413.jpg,4,0.0,1.0,4,6,29
449684,2466,40220549,../Data/insta_data/415.jpg,1,0.43388373911755823,-0.900968867902419,4,6,25
479571,3220,40220549,../Data/insta_data/418.jpg,3,-0.433883739117558,-0.9009688679024191,4,6,19
372406,2605,40220549,../Data/insta_data/419.jpg,4,0.43388373911755823,-0.900968867902419,4,6,18
451093,1622,40220549,../Data/insta_data/421.jpg,6,-0.7818314824680299,0.6234898018587334,4,6,14
288129,1921,40220549,../Data/insta_data/422.jpg,11,-0.9749279121818236,-0.2225209339563146,4,6,13
465412,4089,40220549,../Data/insta_data/424.jpg,4,0.43388373911755823,-0.900968867902419,4,6,11
352187,2145,40220549,../Data/insta_data/425.jpg,4,-0.9749279121818236,-0.2225209339563146,4,6,6
402802,2351,40220549,../Data/insta_data/426.jpg,6,-0.433883739117558,-0.9009688679024191,4,6,5
451896,3266,40220549,../Data/insta_data/427.jpg,4,0.43388373911755823,-0.900968867902419,4,6,4
450375,4967,40220549,../Data/insta_data/428.jpg,6,-0.9749279121818236,-0.2225209339563146,4,5,30
344531,2462,40220549,../Data/insta_data/429.jpg,6,0.9749279121818236,-0.22252093395631434,4,5,27
622837,4395,40220549,../Data/insta_data/430.jpg,5,-0.7818314824680299,0.6234898018587334,4,5,24
516520,3151,40220549,../Data/insta_data/431.jpg,12,-0.433883739117558,-0.9009688679024191,4,5,22
570423,4675,40220549,../Data/insta_data/433.jpg,5,0.9749279121818236,-0.22252093395631434,4,5,13
509250,3560,40220549,../Data/insta_data/434.jpg,11,-0.7818314824680299,0.6234898018587334,4,5,10
614741,5048,40220549,../Data/insta_data/436.jpg,5,0.43388373911755823,-0.900968867902419,4,4,30
477175,3059,40220549,../Data/insta_data/437.jpg,9,-0.7818314824680299,0.6234898018587334,4,4,26
410721,2841,40220549,../Data/insta_data/439.jpg,8,0.9749279121818236,-0.22252093395631434,4,4,22
238150,1210,40220549,../Data/insta_data/441.jpg,10,-0.9749279121818236,-0.2225209339563146,4,4,18
447298,2929,40220549,../Data/insta_data/443.jpg,3,-0.433883739117558,-0.9009688679024191,4,4,17
342133,2600,40220549,../Data/insta_data/445.jpg,9,0.9749279121818236,-0.22252093395631434,4,4,8
612477,5253,40220549,../Data/insta_data/446.jpg,4,-0.433883739117558,-0.9009688679024191,4,4,3
408216,3487,40220549,../Data/insta_data/447.jpg,5,0.0,1.0,4,3,30
462915,2640,40220549,../Data/insta_data/448.jpg,5,-0.9749279121818236,-0.2225209339563146,4,3,28
354492,1666,40220549,../Data/insta_data/449.jpg,9,0.9749279121818236,-0.22252093395631434,4,3,25
458882,2590,40220549,../Data/insta_data/450.jpg,10,0.0,1.0,4,3,23
439689,3606,40220549,../Data/insta_data/451.jpg,5,-0.433883739117558,-0.9009688679024191,4,3,20
471765,2629,40220549,../Data/insta_data/455.jpg,10,-0.7818314824680299,0.6234898018587334,4,3,15
469333,2863,40220549,../Data/insta_data/456.jpg,11,-0.433883739117558,-0.9009688679024191,4,3,13
330462,1758,40220549,../Data/insta_data/457.jpg,10,0.0,1.0,4,3,9
464848,2148,40220549,../Data/insta_data/461.jpg,7,0.0,1.0,4,3,2
327047,1763,40220549,../Data/insta_data/462.jpg,8,-0.433883739117558,-0.9009688679024191,4,2,28
541732,3086,40220549,../Data/insta_data/464.jpg,11,-0.7818314824680299,0.6234898018587334,4,2,23
350474,1134,40220549,../Data/insta_data/465.jpg,9,-0.433883739117558,-0.9009688679024191,4,2,21
482927,4708,40220549,../Data/insta_data/466.jpg,12,0.0,1.0,4,2,17
456380,3304,40220549,../Data/insta_data/468.jpg,10,-0.9749279121818236,-0.2225209339563146,4,2,15
469193,2778,40220549,../Data/insta_data/470.jpg,10,0.7818314824680298,0.6234898018587336,4,2,11
327481,1163,40220549,../Data/insta_data/471.jpg,8,0.0,1.0,4,2,10
404134,787,40220549,../Data/insta_data/472.jpg,11,-0.7818314824680299,0.6234898018587334,4,2,9
789036,3699,40220549,../Data/insta_data/473.jpg,7,-0.7818314824680299,0.6234898018587334,4,2,9
422965,2715,40220549,../Data/insta_data/475.jpg,6,0.7818314824680298,0.6234898018587336,4,2,4
391647,2799,40220549,../Data/insta_data/476.jpg,13,-0.9749279121818236,-0.2225209339563146,4,2,1
414567,2845,40220549,../Data/insta_data/478.jpg,12,0.9749279121818236,-0.22252093395631434,4,1,29
365000,2044,40220549,../Data/insta_data/479.jpg,9,0.0,1.0,4,1,27
456357,1535,40220549,../Data/insta_data/480.jpg,10,-0.9749279121818236,-0.2225209339563146,4,1,25
353345,2477,40220549,../Data/insta_data/481.jpg,9,-0.433883739117558,-0.9009688679024191,4,1,24
448601,2892,40220549,../Data/insta_data/482.jpg,8,0.43388373911755823,-0.900968867902419,4,1,23
420227,2090,40220549,../Data/insta_data/484.jpg,3,0.9749279121818236,-0.22252093395631434,4,1,22
591534,4221,40220549,../Data/insta_data/485.jpg,7,0.0,1.0,4,1,20
353650,1224,40220549,../Data/insta_data/486.jpg,5,-0.9749279121818236,-0.2225209339563146,4,1,18
373782,2813,40220549,../Data/insta_data/487.jpg,11,0.7818314824680298,0.6234898018587336,4,1,14
582505,4630,40220549,../Data/insta_data/488.jpg,6,-0.9749279121818236,-0.2225209339563146,4,1,11
273131,1033,40220549,../Data/insta_data/490.jpg,5,0.43388373911755823,-0.900968867902419,4,1,9
473663,2451,40220549,../Data/insta_data/492.jpg,13,0.0,1.0,4,1,6
322955,966,40220549,../Data/insta_data/493.jpg,3,-0.7818314824680299,0.6234898018587334,4,1,5
719641,4065,40220549,../Data/insta_data/494.jpg,10,-0.433883739117558,-0.9009688679024191,4,1,3
401333,1279,40220549,../Data/insta_data/495.jpg,10,0.43388373911755823,-0.900968867902419,4,1,2
405632,2431,40220549,../Data/insta_data/497.jpg,11,0.7818314824680298,0.6234898018587336,3,12,31
386436,3020,40220549,../Data/insta_data/498.jpg,8,-0.9749279121818236,-0.2225209339563146,3,12,28
340167,1713,40220549,../Data/insta_data/500.jpg,12,0.9749279121818236,-0.22252093395631434,3,12,25
361873,1034,40220549,../Data/insta_data/501.jpg,13,-0.7818314824680299,0.6234898018587334,3,12,22
372866,4803,40220549,../Data/insta_data/502.jpg,6,-0.9749279121818236,-0.2225209339563146,3,12,21
364178,2307,40220549,../Data/insta_data/503.jpg,11,0.43388373911755823,-0.900968867902419,3,12,19
411195,2374,40220549,../Data/insta_data/507.jpg,9,-0.9749279121818236,-0.2225209339563146,3,12,14
395880,1701,40220549,../Data/insta_data/508.jpg,8,0.43388373911755823,-0.900968867902419,3,12,12
424297,2083,40220549,../Data/insta_data/509.jpg,6,0.9749279121818236,-0.22252093395631434,3,12,11
862073,1848,40220549,../Data/insta_data/510.jpg,4,0.7818314824680298,0.6234898018587336,3,12,10
473091,4319,40220549,../Data/insta_data/511.jpg,9,0.0,1.0,3,12,9
293672,1665,40220549,../Data/insta_data/512.jpg,10,-0.7818314824680299,0.6234898018587334,3,12,8
463836,2369,40220549,../Data/insta_data/513.jpg,7,-0.433883739117558,-0.9009688679024191,3,12,6
189458,1685,30415798,../Data/insta_data/515.jpg,11,-0.9749279121818236,-0.2225209339563146,4,7,11
397922,5087,30415798,../Data/insta_data/521.jpg,3,-0.433883739117558,-0.9009688679024191,4,7,10
244447,2741,30415798,../Data/insta_data/522.jpg,17,0.43388373911755823,-0.900968867902419,4,7,9
301158,1752,30415798,../Data/insta_data/528.jpg,12,0.9749279121818236,-0.22252093395631434,4,7,8
124294,443,30415798,../Data/insta_data/529.jpg,9,0.9749279121818236,-0.22252093395631434,4,7,8
145585,2147,30415798,../Data/insta_data/530.jpg,6,0.9749279121818236,-0.22252093395631434,4,7,8
56571,266,30415798,../Data/insta_data/531.jpg,5,0.9749279121818236,-0.22252093395631434,4,7,8
329859,3546,30415798,../Data/insta_data/534.jpg,9,0.7818314824680298,0.6234898018587336,4,7,7
290378,2514,30415798,../Data/insta_data/535.jpg,6,0.7818314824680298,0.6234898018587336,4,7,7
141243,1123,30415798,../Data/insta_data/539.jpg,9,0.0,1.0,4,7,6
100290,554,30415798,../Data/insta_data/541.jpg,14,-0.7818314824680299,0.6234898018587334,4,7,5
193385,4705,30415798,../Data/insta_data/542.jpg,12,-0.7818314824680299,0.6234898018587334,4,7,5
324061,3306,30415798,../Data/insta_data/544.jpg,8,-0.7818314824680299,0.6234898018587334,4,7,5
154472,1163,30415798,../Data/insta_data/546.jpg,2,-0.7818314824680299,0.6234898018587334,4,7,5
341925,4941,30415798,../Data/insta_data/547.jpg,16,-0.9749279121818236,-0.2225209339563146,4,7,4
77029,602,30415798,../Data/insta_data/548.jpg,12,-0.9749279121818236,-0.2225209339563146,4,7,4
48413,245,30415798,../Data/insta_data/555.jpg,11,0.43388373911755823,-0.900968867902419,4,7,2
66481,1039,30415798,../Data/insta_data/558.jpg,15,0.9749279121818236,-0.22252093395631434,4,7,1
115389,389,30415798,../Data/insta_data/559.jpg,14,0.9749279121818236,-0.22252093395631434,4,7,1
54038,241,30415798,../Data/insta_data/560.jpg,14,0.9749279121818236,-0.22252093395631434,4,7,1
60690,459,30415798,../Data/insta_data/561.jpg,11,0.9749279121818236,-0.22252093395631434,4,7,1
132052,522,30415798,../Data/insta_data/568.jpg,9,0.7818314824680298,0.6234898018587336,4,6,30
178181,576,30415798,../Data/insta_data/569.jpg,9,0.7818314824680298,0.6234898018587336,4,6,30
90863,484,30415798,../Data/insta_data/571.jpg,11,0.0,1.0,4,6,29
129168,625,30415798,../Data/insta_data/572.jpg,6,0.0,1.0,4,6,29
151485,635,30415798,../Data/insta_data/573.jpg,6,0.0,1.0,4,6,29
148330,548,30415798,../Data/insta_data/580.jpg,13,-0.9749279121818236,-0.2225209339563146,4,6,27
155740,1137,30415798,../Data/insta_data/581.jpg,11,-0.9749279121818236,-0.2225209339563146,4,6,27
469263,2997,30415798,../Data/insta_data/582.jpg,10,-0.9749279121818236,-0.2225209339563146,4,6,27
149060,817,30415798,../Data/insta_data/583.jpg,3,-0.9749279121818236,-0.2225209339563146,4,6,27
240886,2156,30415798,../Data/insta_data/584.jpg,17,-0.433883739117558,-0.9009688679024191,4,6,26
102460,315,30415798,../Data/insta_data/585.jpg,12,-0.433883739117558,-0.9009688679024191,4,6,26
43921,253,30415798,../Data/insta_data/586.jpg,10,-0.433883739117558,-0.9009688679024191,4,6,26
99689,820,30415798,../Data/insta_data/590.jpg,9,0.43388373911755823,-0.900968867902419,4,6,25
129263,1286,30415798,../Data/insta_data/591.jpg,10,0.9749279121818236,-0.22252093395631434,4,6,24
81917,605,30415798,../Data/insta_data/594.jpg,10,0.7818314824680298,0.6234898018587336,4,6,23
142961,1280,30415798,../Data/insta_data/595.jpg,10,0.0,1.0,4,6,22
95287,948,30415798,../Data/insta_data/596.jpg,7,0.0,1.0,4,6,22
140056,1020,30415798,../Data/insta_data/598.jpg,15,-0.7818314824680299,0.6234898018587334,4,6,21
177288,638,30415798,../Data/insta_data/599.jpg,9,-0.7818314824680299,0.6234898018587334,4,6,21
258409,2020,30415798,../Data/insta_data/600.jpg,7,-0.7818314824680299,0.6234898018587334,4,6,21
112091,1419,30415798,../Data/insta_data/601.jpg,5,-0.7818314824680299,0.6234898018587334,4,6,21
112327,980,30415798,../Data/insta_data/605.jpg,7,-0.9749279121818236,-0.2225209339563146,4,6,20
148402,828,30415798,../Data/insta_data/610.jpg,6,-0.433883739117558,-0.9009688679024191,4,6,19
165295,1294,30415798,../Data/insta_data/611.jpg,9,0.43388373911755823,-0.900968867902419,4,6,18
179296,1233,30415798,../Data/insta_data/618.jpg,5,0.7818314824680298,0.6234898018587336,4,6,16
46349,396,30415798,../Data/insta_data/620.jpg,1,0.7818314824680298,0.6234898018587336,4,6,16
182226,541,30415798,../Data/insta_data/621.jpg,14,0.0,1.0,4,6,15
266300,668,28012051,../Data/insta_data/629.jpg,12,-0.433883739117558,-0.9009688679024191,4,7,3
68814,280,28012051,../Data/insta_data/638.jpg,16,-0.7818314824680299,0.6234898018587334,4,6,21
136706,549,28012051,../Data/insta_data/641.jpg,13,0.43388373911755823,-0.900968867902419,4,6,18
125709,273,28012051,../Data/insta_data/643.jpg,3,0.9749279121818236,-0.22252093395631434,4,6,17
194512,741,28012051,../Data/insta_data/644.jpg,7,-0.433883739117558,-0.9009688679024191,4,6,12
189046,489,28012051,../Data/insta_data/645.jpg,16,0.9749279121818236,-0.22252093395631434,4,6,10
430977,1188,28012051,../Data/insta_data/648.jpg,9,-0.7818314824680299,0.6234898018587334,4,6,7
243168,1227,28012051,../Data/insta_data/650.jpg,8,0.7818314824680298,0.6234898018587336,4,6,2
96602,295,28012051,../Data/insta_data/651.jpg,8,0.0,1.0,4,6,1
453798,1586,28012051,../Data/insta_data/652.jpg,7,-0.7818314824680299,0.6234898018587334,4,5,31
248113,557,28012051,../Data/insta_data/654.jpg,8,-0.9749279121818236,-0.2225209339563146,4,5,30
320790,881,28012051,../Data/insta_data/655.jpg,21,0.43388373911755823,-0.900968867902419,4,5,28
418375,1427,28012051,../Data/insta_data/656.jpg,13,0.9749279121818236,-0.22252093395631434,4,5,27
707965,4685,28012051,../Data/insta_data/657.jpg,6,0.9749279121818236,-0.22252093395631434,4,5,27
71712,209,28012051,../Data/insta_data/659.jpg,11,-0.9749279121818236,-0.2225209339563146,4,5,23
77349,290,28012051,../Data/insta_data/661.jpg,6,-0.7818314824680299,0.6234898018587334,4,5,17
535788,2535,28012051,../Data/insta_data/663.jpg,8,-0.7818314824680299,0.6234898018587334,4,5,10
235784,609,28012051,../Data/insta_data/665.jpg,7,0.9749279121818236,-0.22252093395631434,4,5,6
121840,407,28012051,../Data/insta_data/671.jpg,12,0.0,1.0,4,4,27
57705,232,28012051,../Data/insta_data/673.jpg,12,-0.433883739117558,-0.9009688679024191,4,4,24
41397,186,28012051,../Data/insta_data/674.jpg,14,0.43388373911755823,-0.900968867902419,4,4,23
64782,204,28012051,../Data/insta_data/676.jpg,10,0.9749279121818236,-0.22252093395631434,4,4,22
251924,393,28012051,../Data/insta_data/679.jpg,7,0.43388373911755823,-0.900968867902419,4,4,16
33229,142,28012051,../Data/insta_data/681.jpg,6,0.9749279121818236,-0.22252093395631434,4,4,15
147341,507,28012051,../Data/insta_data/683.jpg,8,-0.433883739117558,-0.9009688679024191,4,4,10
171479,357,28012051,../Data/insta_data/687.jpg,11,0.43388373911755823,-0.900968867902419,4,4,2
53105,156,28012051,../Data/insta_data/688.jpg,7,0.0,1.0,4,3,30
61584,166,28012051,../Data/insta_data/690.jpg,5,0.43388373911755823,-0.900968867902419,4,3,26
221136,288,28012051,../Data/insta_data/691.jpg,9,0.9749279121818236,-0.22252093395631434,4,3,25
